Repository Name,Username,Contribution Quantity,Follower Quantity
zookeeper,phunt,422,30
zookeeper,breed,145,28
zookeeper,fpj,90,30
zookeeper,skamille,67,30
zookeeper,rgs1,63,30
zookeeper,anmolnar,58,24
zookeeper,rakeshadr,48,0
zookeeper,hanm,43,21
zookeeper,maoling,39,30
zookeeper,nkalmar,33,5
camel,davsclaus,18674,30
camel,oscerd,13238,30
camel,WillemJiang,4149,30
camel,jstrachan,1385,30
camel,gnodet,1063,30
camel,bvahdat,847,30
camel,lburgazzoli,804,30
camel,hzbarcea,757,30
camel,janstey,573,28
camel,PascalSchumacher,447,30
httpd,wrowe,2485,21
httpd,trawick,2255,30
httpd,rbowen,1430,30
httpd,jimjag,1403,30
httpd,notroj,1121,14
httpd,covener,1085,21
httpd,ylavic,1035,10
httpd,minfrin,848,7
httpd,rpluem,723,2
httpd,Humbedooh,709,30
lucenenet,NightOwl888,4416,30
lucenenet,synhershko,356,30
lucenenet,conniey,215,30
lucenenet,Shazwazza,171,30
lucenenet,laimis,124,6
lucenenet,ccurrens,59,20
lucenenet,geobmx540,56,4
lucenenet,rclabo,20,4
lucenenet,guidotag,19,19
lucenenet,Chand2048,17,1
ofbiz,JacquesLeRoux,5571,15
ofbiz,jacopoc,2748,8
ofbiz,hansbak,2385,2
ofbiz,eigood,1804,10
ofbiz,adrian-crum,1632,0
ofbiz,jonesde,1319,30
ofbiz,lektran,1169,0
ofbiz,andrewzeneski,686,7
ofbiz,dixitdeepak,379,5
ofbiz,bibryam,215,30
felix,cziegeler,2955,28
felix,karlpauls,1502,13
felix,gnodet,1317,30
felix,bosschaert,470,30
felix,m4rr5,462,10
felix,djencks,366,11
felix,ghenzler,131,10
felix,rotty3000,107,30
felix,ccustine,80,30
felix,chetanmeh,61,30
maven-plugins,dennisl,1840,11
maven-plugins,olamy,1308,30
maven-plugins,hboutemy,1294,30
maven-plugins,brettporter,1212,30
maven-plugins,khmarbaise,1134,30
maven-plugins,bentmann,989,23
maven-plugins,rfscholte,654,30
maven-plugins,jdcasey,605,30
maven-plugins,jvanzyl,441,30
maven-plugins,krosenvold,409,30
sling-old-svn-mirror,rombert,3,30
sling-old-svn-mirror,klcodanr,1,30
apr,wrowe,1501,21
apr,trawick,1162,30
apr,notroj,575,14
apr,ylavic,242,10
apr,gstein,175,30
apr,jimjag,167,30
apr,minfrin,143,7
apr,sstriker,143,5
apr,pquerna,120,30
apr,royfielding,112,30
maven-scm,olamy,627,30
maven-scm,hboutemy,99,30
maven-scm,brettporter,89,30
